image,method,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,fit_time,render_time,total_time,converged,n_iter
kodim01.png,EM,0.005590109154582024,0.07476703077554703,22.525796779456595,0.4903084337711334,0.5096915662288666,0.5361360311508179,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1257.7349498271942,5.503605127334595,1263.2480309009552,True,57
kodim02.png,EM,0.0012100180611014366,0.03478531539440155,29.172081316337835,0.777015209197998,0.22298479080200195,0.3075486123561859,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1079.3171620368958,5.297396898269653,1084.6270768642426,True,50
kodim03.png,EM,0.0012415839591994882,0.035236116498708725,29.060239223298904,0.8435841202735901,0.1564158797264099,0.21325792372226715,2500,9.765625,2.4576,0.0762939453125,1572864,640000,935.7964060306549,5.307875871658325,941.1097049713135,True,47
kodim04.png,EM,0.001982803223654628,0.04452867805957794,27.0272040881228,0.7610828280448914,0.23891717195510864,0.3342248797416687,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1036.6655139923096,5.715490102767944,1042.3895518779755,True,52
kodim05.png,EM,0.011955280788242817,0.10934020578861237,19.224401589532224,0.445978045463562,0.554021954536438,0.44569143652915955,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1434.9312009811401,5.3467628955841064,1440.2882177829742,True,72
kodim06.png,EM,0.003629453247413039,0.06024494394659996,24.401588699807114,0.5861401557922363,0.41385984420776367,0.5689417719841003,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1063.5900797843933,5.292506217956543,1068.8896820545197,True,56
kodim07.png,EM,0.004938276018947363,0.07027287036180496,23.064246902221264,0.6748490929603577,0.32515090703964233,0.36688849329948425,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1023.844339132309,5.42625617980957,1029.294072151184,True,53
kodim08.png,EM,0.01398573350161314,0.11826129257678986,18.543147714619327,0.5234083533287048,0.47659164667129517,0.48078346252441406,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1125.3282680511475,5.33591890335083,1130.6722497940063,True,70
kodim09.png,EM,0.0027780046220868826,0.052706778049468994,25.562670705299485,0.7995619177818298,0.20043808221817017,0.26305097341537476,2500,9.765625,2.4576,0.0762939453125,1572864,640000,990.4324309825897,5.2538042068481445,995.6987299919128,True,46
kodim10.png,EM,0.0024265528190881014,0.04926005378365517,26.150102520907872,0.7793108820915222,0.22068911790847778,0.32018715143203735,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1050.526967048645,5.411390066146851,1055.9445049762726,True,50
kodim11.png,EM,0.0035106679424643517,0.05925089120864868,24.546102264898828,0.6787748336791992,0.3212251663208008,0.4263105094432831,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1278.8925879001617,5.542999029159546,1284.4447038173676,True,55
kodim12.png,EM,0.0018298792419955134,0.04277708753943443,27.37577534627725,0.7934567332267761,0.20654326677322388,0.3433511555194855,2500,9.765625,2.4576,0.0762939453125,1572864,640000,976.8520979881287,5.462100028991699,982.3205733299255,True,44
kodim13.png,EM,0.008665136061608791,0.09308671206235886,20.622246291848754,0.40814653038978577,0.5918534696102142,0.7808387875556946,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1049.463483095169,5.339269161224365,1054.8090162277222,True,60
kodim14.png,EM,0.006347488611936569,0.07967112958431244,21.973980827728504,0.5377214550971985,0.4622785449028015,0.5279000401496887,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1087.260737657547,5.423256874084473,1092.6947357654572,True,56
kodim15.png,EM,0.0022080547641962767,0.04698994383215904,26.559901691056208,0.8397136330604553,0.16028636693954468,0.22013217210769653,2500,9.765625,2.4576,0.0762939453125,1572864,640000,893.6258919239044,5.318434953689575,898.9506328105927,True,49
kodim16.png,EM,0.00142870529089123,0.03779821842908859,28.450573618467267,0.712899923324585,0.28710007667541504,0.4672175943851471,2500,9.765625,2.4576,0.0762939453125,1572864,640000,892.0350170135498,5.467684984207153,897.5123279094696,True,49
kodim17.png,EM,0.0028323165606707335,0.0532195121049881,25.47858241837921,0.7252045273780823,0.2747954726219177,0.3703727722167969,2500,9.765625,2.4576,0.0762939453125,1572864,640000,885.9759418964386,5.791506290435791,891.774827003479,True,58
kodim18.png,EM,0.005344626028090715,0.07310695201158524,22.720826866119967,0.548907995223999,0.451092004776001,0.6010385155677795,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1306.7546229362488,5.325057029724121,1312.0858597755432,True,58
kodim19.png,EM,0.005462906789034605,0.07391148060560226,22.625762038486762,0.6752629280090332,0.3247370719909668,0.4460107982158661,2500,9.765625,2.4576,0.0762939453125,1572864,640000,859.1153531074524,5.365950107574463,864.4959230422974,True,52
kodim20.png,EM,0.00325088226236403,0.057016510516405106,24.879987752058007,0.8197712898254395,0.18022871017456055,0.23574282228946686,2500,9.765625,2.4576,0.0762939453125,1572864,640000,914.0371341705322,5.377930164337158,919.4308240413666,True,42
kodim21.png,EM,0.00503201549872756,0.07093670219182968,22.982580206081686,0.67868572473526,0.32131427526474,0.44185903668403625,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1144.8799118995667,5.343089818954468,1150.2302267551422,True,50
kodim22.png,EM,0.0025330022908747196,0.05032894015312195,25.963643761699636,0.6520392894744873,0.3479607105255127,0.45459824800491333,2500,9.765625,2.4576,0.0762939453125,1572864,640000,941.4998171329498,5.246042966842651,946.7535450458527,True,51
kodim23.png,EM,0.0021487472113221884,0.04635458067059517,26.678146869126298,0.8519315719604492,0.14806842803955078,0.20547056198120117,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1044.8714292049408,5.604336261749268,1050.4867992401123,True,48
kodim24.png,EM,0.005035508889704943,0.07096131891012192,22.97956666444627,0.6176785826683044,0.38232141733169556,0.4617757797241211,2500,9.765625,2.4576,0.0762939453125,1572864,640000,1207.5040571689606,5.33806586265564,1212.8521559238434,True,57
